id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap,industry_graduation_levels,industry_current_levels,joy_working,joy_reading,joy_catching_up,joy_social_media,joy_watching_tv,joy_exercising,joy_sleeping,joy_care_giving,joy_parting_hosting,joy_eating_with_family,joy_eating_with_others,joy_eating_alone,joy_watching_TV_with_family,joy_watching_TV_with_others,joy_watching_TV_alone,joy_hanging_out_alone,joy_hanging_out_with_family,joy_hanging_out_with_others,joy_chores_alone,joy_chores_with_others,joy_chores_with_family,joy_commuting_alone,joy_volunteering,joy_therapy,joy_gaming,joy_school_learning,joy_side_projects,joy_job_searching,joy_napping,joy_hobbies
1.0,IWF,Men,In a relationship,20th,5.0,4.0,3+,4.0,Kids,1.0,1722743.0,4.0,More than 1M,5.0,11.0,10.0,83.0,50.0,32.0,10.0,95.0,5.3,5.3,77.0,Over 55,3.0,5.0,1.0,5.0,3.0,50.0,13.0,6.0,Finance,Tech,1.1,0.6,0.8,2.0,1.7,1.2,1.9,0.1,2.2,,1.1,1.6,2.0,4.4,4.6,2.6,13.5,4.0,0.8,6.5,0.2,0.95,2.19,0.65,1.7,1.45,1.0,1.6,0.1,Purpose Seeker,52.0,11.0,12.0,inf,17.0,1.0,3.0,61,73,98,22,51,67,16,35,73,99,90,55,79,14,99,49,62,22,91,65,98,78,31,91,64,54,44,67,60,27
2.0,IWF,Men,Single,1st,1.0,3.0,3+,4.0,Kids,1.0,4334572.0,1.0,More than 1M,5.0,50.0,10.0,87.0,21.0,69.0,10.0,15.0,8.1,8.1,33.0,0 - 35,0.0,10.0,5.0,2.0,15.0,51.0,8.0,3.0,Healthcare,Healthcare,2.9,1.6,0.7,2.4,2.4,1.4,0.5,0.6,2.1,1.6,1.0,0.4,0.2,9.6,13.5,2.5,15.9,5.6,0.9,1.7,0.9,2.4,2.48,0.6,2.0,2.0,1.2,0.45,0.45,Flourisher,15.0,14.0,-6.0,4.0,13.0,4.0,4.0,24,31,59,43,52,43,20,98,29,87,47,63,67,69,13,24,73,53,66,47,19,74,36,41,37,26,85,86,38,69
3.0,IWF,Women,Married,30th,7.0,3.0,3+,4.0,Kids,1.0,4956484.0,4.0,More than 1M,5.0,31.0,62.0,89.0,10.0,99.0,62.0,56.0,9.3,9.3,72.0,Over 55,9.0,0.0,10.0,5.0,12.0,54.0,13.0,2.0,Consulting,Tech,2.2,2.6,2.7,0.8,2.3,2.6,2.6,2.5,0.3,2.2,0.5,1.8,0.7,7.6,21.8,9.1,5.0,5.3,1.7,8.7,4.2,1.85,2.37,2.25,0.65,1.9,2.15,2.2,2.1,Joy Seeker,72.0,60.0,-3.0,-20.0,-9.0,2.0,3.0,81,69,38,13,94,29,70,35,17,65,74,83,49,32,88,15,32,48,16,95,17,74,64,51,27,67,93,16,94,76
4.0,IWF,Women,In a relationship,20th,5.0,4.0,3+,4.0,Kids,1.0,2264489.0,4.0,More than 1M,5.0,48.0,54.0,44.0,89.0,72.0,54.0,97.0,6.5,6.5,68.0,Over 55,1.0,2.0,10.0,5.0,5.0,50.0,17.0,5.0,Tech,Consulting,inf,2.2,0.7,1.9,0.5,1.0,1.8,2.3,2.8,1.3,1.8,0.9,2.3,6.4,18.3,2.5,12.5,1.1,0.7,6.1,3.8,1.5,2.3,0.6,1.55,0.4,0.85,1.55,1.9,Flourisher,61.0,30.0,19.0,20.0,-6.0,3.0,2.0,70,73,66,37,97,59,77,35,67,10,27,46,60,55,83,36,36,28,57,70,21,66,76,56,50,67,90,17,11,24
5.0,HBS,Men,Single,inf,3.0,3.0,3+,4.0,Kids,1.0,1600006.0,4.0,More than 1M,5.0,13.0,47.0,56.0,40.0,45.0,47.0,45.0,4.8,4.8,63.0,Over 55,7.0,8.0,9.0,7.0,8.0,50.0,10.0,6.0,Finance,Finance,0.5,2.4,0.8,1.7,0.4,2.6,0.5,1.1,1.7,1.9,1.4,0.2,1.6,2.4,20.2,2.7,11.4,1.0,1.7,1.6,1.8,0.4,2.08,0.7,1.45,0.35,2.15,0.4,0.9,Triumvirate,21.0,35.0,-10.0,-7.0,-2.0,1.0,1.0,30,81,48,68,51,97,34,55,55,65,72,32,14,61,94,47,26,60,89,56,73,71,42,40,90,66,85,60,15,25
6.0,HBS,Men,Married,5th,2.0,3.0,inf,4.0,Kids,1.0,1166074.0,3.0,More than 1M,5.0,47.0,63.0,25.0,35.0,22.0,63.0,64.0,4.3,4.3,inf,45 - 55,4.0,6.0,7.0,7.0,9.0,50.0,14.0,3.0,Finance,Finance,0.5,2.0,2.3,2.5,0.8,0.3,2.9,1.1,1.1,1.0,2.6,2.8,2.8,2.4,16.5,7.6,16.7,1.9,0.2,9.6,1.9,0.4,2.08,1.9,2.1,0.65,0.2,2.4,0.95,Flourisher,83.0,85.0,16.0,6.0,-4.0,1.0,1.0,92,20,65,36,75,19,21,58,40,13,60,36,86,19,25,77,57,28,69,63,68,29,11,71,84,16,59,32,40,31
7.0,IWF,Women,In a relationship,1st,1.0,2.0,2,3.0,Kids,1.0,4074887.0,4.0,More than 1M,5.0,52.0,92.0,87.0,31.0,78.0,92.0,97.0,8.7,8.7,79.0,Over 55,6.0,1.0,2.0,7.0,6.0,52.0,17.0,3.0,Finance,Healthcare,0.2,2.1,1.3,2.7,1.1,2.3,1.6,1.6,2.3,0.9,0.1,1.9,1.3,1.5,17.3,4.5,18.1,2.5,1.6,5.2,2.7,0.15,2.03,1.1,2.25,0.9,1.95,1.3,1.35,Striver,87.0,37.0,-18.0,-17.0,3.0,1.0,4.0,96,23,52,78,64,41,35,91,18,39,18,79,41,55,28,84,30,85,42,55,76,84,84,65,74,48,83,99,63,72
8.0,IWF,Women,Married,5th,2.0,3.0,3+,4.0,Kids,1.0,1269911.0,4.0,More than 1M,5.0,18.0,,64.0,28.0,93.0,53.0,69.0,4.9,4.9,64.0,Over 55,5.0,1.0,2.0,10.0,6.0,50.0,13.0,7.0,inf,Other,2.6,2.5,2.3,0.0,1.2,2.5,0.2,0.0,0.8,1.7,1.9,2.6,2.6,8.8,21.2,7.8,0.2,2.9,1.7,0.7,0.0,2.15,2.43,1.95,0.05,1.0,2.1,0.2,0.0,Striver,75.0,5.0,-5.0,-14.0,-4.0,1.0,5.0,84,69,59,34,81,61,21,62,24,21,22,99,89,37,38,94,59,61,12,77,100,35,55,20,90,87,91,100,97,40
9.0,HBS,Men,Married,5th,2.0,1.0,1,2.0,Kids,1.0,4502471.0,3.0,More than 1M,5.0,92.0,90.0,86.0,17.0,23.0,90.0,19.0,8.2,8.2,48.0,45 - 55,9.0,7.0,2.0,0.0,10.0,50.0,3.0,1.0,Other,Other,1.8,0.7,0.2,2.0,2.0,0.5,1.9,0.7,2.1,1.5,2.3,,1.3,6.4,6.2,0.7,13.5,4.8,0.4,6.3,1.2,1.5,2.3,0.15,1.7,1.7,0.45,1.55,0.6,Striver,75.0,83.0,-25.0,-15.0,18.0,5.0,5.0,84,39,32,12,57,24,52,12,35,44,49,75,10,52,60,73,49,95,13,13,59,53,83,35,55,67,39,18,49,10
10.0,IWF,Men,In a relationship,10th,3.0,3.0,3+,4.0,Kids,1.0,2168242.0,2.0,More than 1M,5.0,87.0,23.0,49.0,48.0,48.0,23.0,45.0,5.9,5.9,43.0,35 - 45,3.0,7.0,,5.0,15.0,51.0,19.0,9.0,Consulting,Tech,2.1,inf,1.5,0.2,0.2,1.3,0.8,0.6,0.1,1.7,2.3,,2.9,7.4,12.2,4.9,1.0,0.4,0.9,2.5,1.0,1.75,2.35,1.2,0.15,inf,1.1,0.65,0.5,Flourisher,88.0,78.0,-18.0,20.0,-17.0,2.0,3.0,97,44,53,77,100,93,60,75,19,86,64,70,86,35,27,39,12,56,13,75,32,76,42,36,69,65,81,55,26,84
