id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap
1,IWF,Men,In a relationship,20th,5,4,3+,4,yes,1,1722743,4,More than 1M,5,11,10,83,50,32,10,95,5.3,5.3,77,Over 55,3,5,1,5,3,50,13,6,Finance,Tech,1.1,0.6,0.8,2,1.7,1.2,1.9,0.1,2.2,2.7,1.1,1.6,2,4.4,4.6,2.6,13.5,4,0.8,6.5,0.2,0.95,2.19,0.65,1.7,1.45,1,1.6,0.1,Purpose Seeker,52,11,12,-22,17
2,IWF,Men,Single,1st,1,3,3+,4,yes,1,4334572,1,More than 1M,5,50,10,87,21,69,10,15,8.1,8.1,33,0 - 35,0,10,5,2,15,51,8,3,Healthcare,Healthcare,2.9,1.6,0.7,2.4,2.4,1.4,0.5,0.6,2.1,1.6,1,0.4,0.2,9.6,13.5,2.5,15.9,5.6,0.9,1.7,0.9,2.4,2.48,0.6,2,2,1.2,0.45,0.45,Flourisher,15,14,-6,4,13
3,IWF,Women,Married,30th,7,3,3+,4,yes,1,4956484,4,More than 1M,5,31,62,89,10,99,62,56,9.3,9.3,72,Over 55,9,0,10,5,12,54,13,2,Consulting,Tech,2.2,2.6,2.7,0.8,2.3,2.6,2.6,2.5,0.3,2.2,0.5,1.8,0.7,7.6,21.8,9.1,5,5.3,1.7,8.7,4.2,1.85,2.37,2.25,0.65,1.9,2.15,2.2,2.1,Joy Seeker,72,60,-3,-20,-9
4,IWF,Women,In a relationship,20th,5,4,3+,4,yes,1,2264489,4,More than 1M,5,48,54,44,89,72,54,97,6.5,6.5,68,Over 55,1,2,10,5,5,50,17,5,Tech,Consulting,1.8,2.2,0.7,1.9,0.5,1,1.8,2.3,2.8,1.3,1.8,0.9,2.3,6.4,18.3,2.5,12.5,1.1,0.7,6.1,3.8,1.5,2.3,0.6,1.55,0.4,0.85,1.55,1.9,Flourisher,61,30,19,20,-6
5,HBS,Men,Single,10th,3,3,3+,4,yes,1,1600006,4,More than 1M,5,13,47,56,40,45,47,45,4.8,4.8,63,Over 55,7,8,9,7,8,50,10,6,Finance,Finance,0.5,2.4,0.8,1.7,0.4,2.6,0.5,1.1,1.7,1.9,1.4,0.2,1.6,2.4,20.2,2.7,11.4,1,1.7,1.6,1.8,0.4,2.08,0.7,1.45,0.35,2.15,0.4,0.9,Triumvirate,21,35,-10,-7,-2
6,HBS,Men,Married,5th,2,3,3+,4,yes,1,1166074,3,More than 1M,5,47,63,25,35,22,63,64,4.3,4.3,47,45 - 55,4,6,7,7,9,50,14,3,Finance,Finance,0.5,2,2.3,2.5,0.8,0.3,2.9,1.1,1.1,1,2.6,2.8,2.8,2.4,16.5,7.6,16.7,1.9,0.2,9.6,1.9,0.4,2.08,1.9,2.1,0.65,0.2,2.4,0.95,Flourisher,83,85,16,6,-4
7,IWF,Women,In a relationship,1st,1,2,2,3,yes,1,4074887,4,More than 1M,5,52,92,87,31,78,92,97,8.7,8.7,79,Over 55,6,1,2,7,6,52,17,3,Finance,Healthcare,0.2,2.1,1.3,2.7,1.1,2.3,1.6,1.6,2.3,0.9,0.1,1.9,1.3,1.5,17.3,4.5,18.1,2.5,1.6,5.2,2.7,0.15,2.03,1.1,2.25,0.9,1.95,1.3,1.35,Striver,87,37,-18,-17,3
8,IWF,Women,Married,5th,2,3,3+,4,yes,1,1269911,4,More than 1M,5,18,53,64,28,93,53,69,4.9,4.9,64,Over 55,5,1,2,10,6,50,13,7,Finance,Other,2.6,2.5,2.3,0,1.2,2.5,0.2,0,0.8,1.7,1.9,2.6,2.6,8.8,21.2,7.8,0.2,2.9,1.7,0.7,0,2.15,2.43,1.95,0.05,1,2.1,0.2,0,Striver,75,5,-5,-14,-4
9,HBS,Men,Married,5th,2,1,1,2,yes,1,4502471,3,More than 1M,5,92,90,86,17,23,90,19,8.2,8.2,48,45 - 55,9,7,2,0,10,50,3,1,Other,Other,1.8,0.7,0.2,2,2,0.5,1.9,0.7,2.1,1.5,2.3,2,1.3,6.4,6.2,0.7,13.5,4.8,0.4,6.3,1.2,1.5,2.3,0.15,1.7,1.7,0.45,1.55,0.6,Striver,75,83,-25,-15,18
10,IWF,Men,In a relationship,10th,3,3,3+,4,yes,1,2168242,2,More than 1M,5,87,23,49,48,48,23,45,5.9,5.9,43,35 - 45,3,7,5,5,15,51,19,9,Consulting,Tech,2.1,1.5,1.5,0.2,0.2,1.3,0.8,0.6,0.1,1.7,2.3,1.1,2.9,7.4,12.2,4.9,1,0.4,0.9,2.5,1,1.75,2.35,1.2,0.15,0.15,1.1,0.65,0.5,Flourisher,88,78,-18,20,-17
