group,gender,status,reunion_class,having_children,n_children,children_category,income,metric,metric_value,munimums_value,n
IWF,Women,in a relationship,35th,yes,2,2,Less than 150k,Achievement,10,7.4,1
IWF,Women,in a relationship,10th,yes,3,3+,Less than 150k,Achievement,6.2,7.2,7
IWF,Women,in a relationship,20th,no,0,0,More than 1m,Meaningfulness+,2,8.7,7
IWF,Men,in a relationship,30th,no,0,0,Less than 150k,Meaningfulness+,5.2,7,9
Xilio,Men,single,25th,yes,3,3+,150k-250k,Achievement,6.7,8.1,2
IWF,Men,in a relationship,1st,yes,1,1,More than 1m,Joy,0.2,7.6,9
Xilio,Men,single,15th,yes,2,2,150k-250k,Meaningfulness+,0.4,5.4,3
HBS,Men,single,5th,yes,3,3+,250k-500k,Achievement,0.9,9.4,1
IWF,Women,single,1st,no,0,0,150k-250k,Meaningfulness,9.9,8.3,9
HBS,Women,in a relationship,20th,yes,2,2,Less than 150k,Life satisfaction,1.5,7.4,10
IWF,Women,in a relationship,40th+,yes,2,2,250k-500k,Meaningfulness+,7.7,6.4,4
IWF,Women,single,20th,yes,1,1,150k-250k,Achievement,8.6,7.8,4
Xilio,Women,single,10th,yes,3,3+,150k-250k,Meaningfulness,3,7.5,3
Xilio,Women,in a relationship,30th,no,0,0,150k-250k,Meaningfulness+,2.1,6.6,6
HBS,Men,in a relationship,10th,yes,1,1,150k-250k,Meaningfulness+,6,9.5,9
HBS,Men,in a relationship,20th,yes,2,2,500k-1m,Meaningfulness+,3.1,7.6,6
HBS,Women,single,30th,yes,2,2,150k-250k,Achievement,2.4,8.2,3
HBS,Women,in a relationship,5th,yes,1,1,More than 1m,Meaningfulness,7.9,8.1,7
HBS,Men,single,30th,yes,3,3+,Less than 150k,Achievement,0.4,8.5,2
IWF,Men,in a relationship,10th,yes,1,1,250k-500k,Meaningfulness+,6.8,6.7,4
Xilio,Men,single,15th,no,0,0,500k-1m,Meaningfulness+,1.4,6,5
Xilio,Men,in a relationship,25th,yes,3,3+,150k-250k,Achievement,2.4,6.3,3
IWF,Men,in a relationship,40th+,yes,2,2,500k-1m,Joy,1.8,7.9,10
IWF,Women,in a relationship,5th,yes,1,1,150k-250k,Joy,0.1,7.7,2
HBS,Men,in a relationship,15th,yes,1,1,Less than 150k,Meaningfulness,8.7,5.4,2
HBS,Men,single,25th,yes,2,2,150k-250k,Meaningfulness+,8,6.8,10
HBS,Women,in a relationship,15th,yes,3,3+,More than 1m,Meaningfulness+,6.8,9,1
Xilio,Women,in a relationship,5th,no,0,0,500k-1m,Life satisfaction,0,7.5,9
Xilio,Women,single,20th,no,0,0,500k-1m,Meaningfulness+,3.6,6.1,4
Xilio,Women,in a relationship,10th,no,0,0,150k-250k,Meaningfulness+,7.9,6.8,5
IWF,Women,in a relationship,30th,yes,1,1,250k-500k,Joy,4,5.6,6
HBS,Men,single,15th,yes,1,1,150k-250k,Life satisfaction,5.4,6.8,5
Xilio,Men,in a relationship,35th,yes,3,3+,150k-250k,Achievement,8.6,6,4
IWF,Women,in a relationship,30th,yes,1,1,250k-500k,Achievement,5.7,7.4,7
IWF,Women,single,40th+,yes,1,1,500k-1m,Life satisfaction,1.6,8.7,9
HBS,Men,single,40th+,no,0,0,More than 1m,Achievement,5.2,7.4,2
IWF,Men,in a relationship,15th,yes,1,1,More than 1m,Life satisfaction,7.3,7.9,7
Xilio,Women,in a relationship,1st,yes,2,2,Less than 150k,Joy,7.8,8.7,6
HBS,Women,in a relationship,1st,no,0,0,250k-500k,Meaningfulness+,1.8,5.1,5
IWF,Women,single,20th,yes,3,3+,500k-1m,Life satisfaction,9.9,5.7,10
IWF,Men,single,20th,yes,1,1,More than 1m,Meaningfulness,7.6,5.1,7
HBS,Women,single,10th,yes,1,1,Less than 150k,Meaningfulness+,6.4,5.2,8
IWF,Women,in a relationship,35th,yes,2,2,500k-1m,Joy,9,6.7,10
Xilio,Women,in a relationship,10th,yes,3,3+,More than 1m,Achievement,9.6,9,10
Xilio,Women,in a relationship,20th,no,0,0,More than 1m,Achievement,3.3,5.9,3
IWF,Women,single,35th,yes,1,1,More than 1m,Achievement,8.4,6,4
IWF,Women,in a relationship,40th+,yes,2,2,150k-250k,Achievement,6.8,7.6,5
IWF,Men,in a relationship,30th,yes,2,2,Less than 150k,Joy,4.3,9.6,3
IWF,Women,single,15th,yes,2,2,More than 1m,Life satisfaction,0.1,6.5,3
HBS,Men,in a relationship,15th,no,0,0,Less than 150k,Joy,2.2,5.4,10
IWF,Men,single,30th,yes,2,2,More than 1m,Life satisfaction,6.3,6.7,2
HBS,Men,single,15th,no,0,0,250k-500k,Life satisfaction,5.5,5.2,3
IWF,Men,single,30th,yes,1,1,Less than 150k,Life satisfaction,6.2,8.1,10
IWF,Men,single,15th,yes,3,3+,150k-250k,Life satisfaction,9.1,6.2,5
HBS,Women,single,5th,yes,3,3+,Less than 150k,Achievement,6.6,8.7,3
Xilio,Men,single,15th,yes,2,2,Less than 150k,Life satisfaction,3.6,6,1
IWF,Women,in a relationship,35th,yes,2,2,150k-250k,Meaningfulness+,8.9,6.7,9
Xilio,Men,in a relationship,35th,yes,2,2,Less than 150k,Meaningfulness+,4.9,5.5,1
Xilio,Men,single,10th,yes,3,3+,More than 1m,Life satisfaction,1.7,8.4,5
HBS,Women,in a relationship,40th+,no,0,0,500k-1m,Meaningfulness+,2.9,5.5,1
IWF,Women,single,30th,no,0,0,More than 1m,Meaningfulness,9.2,5.2,7
HBS,Women,in a relationship,5th,yes,3,3+,500k-1m,Meaningfulness+,3.4,6.4,9
Xilio,Men,in a relationship,30th,yes,2,2,Less than 150k,Meaningfulness,1.7,6.1,8
HBS,Men,in a relationship,25th,yes,3,3+,More than 1m,Joy,2.2,9.7,10
HBS,Women,in a relationship,35th,no,0,0,More than 1m,Meaningfulness,0.5,8.1,6
HBS,Men,single,40th+,yes,2,2,150k-250k,Joy,2.5,5.9,5
Xilio,Women,in a relationship,30th,no,0,0,Less than 150k,Life satisfaction,9.9,6.8,7
Xilio,Men,in a relationship,10th,yes,2,2,250k-500k,Meaningfulness,6.3,8.3,4
IWF,Men,in a relationship,5th,yes,1,1,150k-250k,Meaningfulness+,7.9,8.7,10
HBS,Men,single,40th+,yes,1,1,150k-250k,Life satisfaction,0.2,5.9,5
Xilio,Women,single,20th,yes,1,1,More than 1m,Meaningfulness+,7.8,5.6,9
Xilio,Men,in a relationship,10th,yes,1,1,250k-500k,Meaningfulness+,9.8,7,10
Xilio,Men,single,1st,yes,3,3+,250k-500k,Achievement,7.4,8.9,1
HBS,Women,single,35th,no,0,0,More than 1m,Achievement,5.3,5.1,8
HBS,Women,in a relationship,15th,yes,2,2,150k-250k,Meaningfulness+,4.2,8.9,1
HBS,Women,in a relationship,40th+,yes,1,1,250k-500k,Achievement,7.3,8,9
HBS,Men,single,35th,yes,3,3+,250k-500k,Meaningfulness,8.4,7.9,6
Xilio,Men,single,30th,yes,1,1,500k-1m,Meaningfulness+,6.7,9.2,2
IWF,Women,single,30th,yes,1,1,250k-500k,Meaningfulness+,9.2,7.4,8
