"group","gender","metric","value"
"Xilio","Men","life_satisfaction",6.16
"Xilio","Men","life_satisfaction",6.65
"Xilio","Men","life_satisfaction",9.34
"Xilio","Men","life_satisfaction",7.11
"Xilio","Men","life_satisfaction",7.19
"Xilio","Men","life_satisfaction",9.57
"Xilio","Men","life_satisfaction",7.69
"Xilio","Men","life_satisfaction",5.1
"Xilio","Men","life_satisfaction",5.97
"Xilio","Men","life_satisfaction",6.33
"Xilio","Men","life_satisfaction",8.84
"Xilio","Men","life_satisfaction",7.54
"Xilio","Men","life_satisfaction",7.6
"Xilio","Men","life_satisfaction",7.17
"Xilio","Men","life_satisfaction",6.17
"Xilio","Men","life_satisfaction",9.68
"Xilio","Men","life_satisfaction",7.75
"Xilio","Men","life_satisfaction",4.05
"Xilio","Men","life_satisfaction",8.05
"Xilio","Men","life_satisfaction",6.29
"Xilio","Men","life_satisfaction",5.4
"Xilio","Men","life_satisfaction",6.67
"Xilio","Men","life_satisfaction",5.46
"Xilio","Men","life_satisfaction",5.91
"Xilio","Men","life_satisfaction",6.06
"Xilio","Men","life_satisfaction",4.47
"Xilio","Men","life_satisfaction",8.26
"Xilio","Men","life_satisfaction",7.23
"Xilio","Men","life_satisfaction",5.29
"Xilio","Men","life_satisfaction",8.88
"Xilio","Men","life_satisfaction",7.64
"Xilio","Men","life_satisfaction",6.56
"Xilio","Men","life_satisfaction",8.34
"Xilio","Men","life_satisfaction",8.32
"Xilio","Men","life_satisfaction",8.23
"Xilio","Men","life_satisfaction",8.03
"Xilio","Men","life_satisfaction",7.83
"Xilio","Men","life_satisfaction",6.91
"Xilio","Men","life_satisfaction",6.54
"Xilio","Men","life_satisfaction",6.43
"Xilio","Men","life_satisfaction",5.96
"Xilio","Men","life_satisfaction",6.69
"Xilio","Men","life_satisfaction",5.1
"Xilio","Men","life_satisfaction",10
"Xilio","Men","life_satisfaction",8.81
"Xilio","Men","life_satisfaction",5.32
"Xilio","Men","life_satisfaction",6.4
"Xilio","Men","life_satisfaction",6.3
"Xilio","Men","life_satisfaction",8.17
"Xilio","Men","life_satisfaction",6.87
"Xilio","Men","life_satisfaction",7.38
"Xilio","Men","life_satisfaction",6.96
"Xilio","Men","life_satisfaction",6.94
"Xilio","Men","life_satisfaction",9.05
"Xilio","Men","life_satisfaction",6.66
"Xilio","Men","life_satisfaction",9.27
"Xilio","Men","life_satisfaction",4.68
"Xilio","Men","life_satisfaction",7.88
"Xilio","Men","life_satisfaction",7.19
"Xilio","Men","life_satisfaction",7.32
"Xilio","Men","life_satisfaction",7.57
"Xilio","Men","life_satisfaction",6.25
"Xilio","Men","life_satisfaction",6.5
"Xilio","Men","life_satisfaction",5.47
"Xilio","Men","life_satisfaction",5.39
"Xilio","Men","life_satisfaction",7.46
"Xilio","Men","life_satisfaction",7.67
"Xilio","Men","life_satisfaction",7.08
"Xilio","Men","life_satisfaction",8.38
"Xilio","Men","life_satisfaction",10
"Xilio","Men","life_satisfaction",6.26
"Xilio","Men","life_satisfaction",3.54
"Xilio","Men","life_satisfaction",8.51
"Xilio","Men","life_satisfaction",5.94
